'Date',12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6,29/6,30/6,1/7,2/7,3/7,4/7,5/7,6/7,7/7,8/7,9/7,10/7,11/7,12/7,13/7,14/7
['11/06'],[639],[639],[535],[],[496],[496],[535],[535],[535],[496],[],[496],[496],[535],[535],[484],[535],[496],[496],[1453],[1453],[1230],[1453],[1453],[1453],[],[],[],[],[],[],[],[]
['12/06'],[],[639],[639],[496],[],[496],[535],[596],[],[590],[],[557],[552],[535],[535],[535],[484],[496],[496],[1453],[1453],[1453],[1153],[1453],[1453],[1453],[],[],[],[],[],[],[]
['13/06'],[],[],[697],[662],[],[558],[598],[556],[559],[],[],[550],[558],[596],[],[596],[535],[496],[496],[496],[535],[535],[619],[],[],[],[],[],[],[],[],[],[]
['13.5/06'],[],[],[639],[600],[],[564],[601],[601],[],[535],[496],[496],[464],[594],[593],[551],[],[558],[],[1123],[559],[1463],[1463],[1459],[1142],[1470],[1468],[1468],[],[],[],[],[]
['14/06'],[],[],[],[],[],[],[535],[535],[535],[496],[],[496],[496],[496],[596],[445],[601],[],[],[1468],[1126],[],[563],[1457],[1475],[],[],[],[],[],[],[],[]
['15/06'],[],[],[],[],[],[],[535],[535],[535],[496],[496],[496],[],[],[],[],[],[445],[496],[1453],[1452],[1126],[1453],[1452],[1452],[],[1453],[1453],[],[],[],[],[]
['15.5/06'],[],[],[],[],[],[],[],[535],[535],[535],[464],[496],[496],[535],[496],[535],[535],[496],[442],[1453],[1453],[1453],[],[1453],[1453],[1453],[1139],[1453],[],[],[],[],[]
['16/06'],[],[],[],[],[],[],[],[535],[535],[535],[],[496],[496],[535],[496],[535],[535],[496],[442],[1453],[1452],[1453],[1156],[1453],[1453],[1453],[1136],[1453],[],[],[],[],[]
['17.51/06'],[],[],[],[],[],[],[],[],[],[535],[496],[496],[464],[535],[535],[535],[496],[496],[496],[496],[483],[535],[619],[619],[532],[580],[580],[619],[],[],[],[],[]
['18/06'],[],[],[],[],[],[],[],[],[],[535],[496],[496],[463],[535],[496],[535],[496],[496],[496],[496],[483],[535],[619],[619],[532],[580],[580],[619],[],[],[],[],[]
['19/06'],[],[],[],[],[],[],[],[],[],[],[],[496],[496],[496],[535],[535],[535],[],[496],[496],[535],[486],[619],[619],[580],[529],[],[619],[],[],[],[],[]
['20/06'],[],[],[],[],[],[],[],[],[],[],[],[496],[],[535],[496],[535],[535],[496],[],[],[535],[496],[535],[619],[580],[580],[526],[619],[],[],[],[],[]
['21/06'],[],[],[],[],[],[],[],[],[],[],[],[],[496],[535],[535],[504],[535],[496],[496],[466],[535],[535],[619],[568],[580],[580],[580],[568],[],[],[],[],[]
['23/06'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[535],[535],[496],[],[496],[535],[535],[],[619],[580],[580],[],[619],[],[],[],[],[]
